temps,fc,vitesse,altitude,distance,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber
85,159,2.780999899,1895.400024,650.4099731,159,2.780999899,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
86,158,2.621999979,1896.199951,656.3900146,158,2.621999979,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
87,158,2.585000038,1896.800049,659.0800171,158,2.585000038,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
88,158,2.529000044,1897.800049,666.2299805,158,2.529000044,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
89,158,2.519000053,1898.599976,669.0100098,158,2.519000053,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
90,158,2.50999999,1899,673.4400024,158,2.50999999,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
91,159,2.490999937,1899.800049,681.0499878,159,2.490999937,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
92,158,2.482000113,1900.199951,682.7000122,158,2.482000113,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
93,159,2.444999933,1901.199951,688.6400146,159,2.444999933,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
94,159,2.398000002,1902.599976,695.6699829,159,2.398000002,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
95,160,2.361000061,1903.599976,704.3300171,160,2.361000061,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
96,161,2.369999886,1904.800049,711.6900024,161,2.369999886,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
97,162,2.361000061,1906.199951,721.3400269,162,2.361000061,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
98,162,2.351000071,1906.599976,723.8599854,162,2.351000071,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
99,162,2.342000008,1907.199951,728.4099731,162,2.342000008,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
100,162,2.332999945,1907.400024,735.25,162,2.332999945,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
101,163,2.313999891,1908.400024,744.9199829,163,2.313999891,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
102,163,2.313999891,1908.599976,747.5200195,163,2.313999891,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
103,163,2.332999945,1908.800049,749.6799927,163,2.332999945,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
104,163,2.351000071,1909.599976,759.210022,163,2.351000071,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
105,163,2.351000071,1909.800049,763.789978,163,2.351000071,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
106,163,2.369999886,1910.800049,774.8900146,163,2.369999886,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
107,163,2.407000065,1911.199951,779.789978,163,2.407000065,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
108,163,2.407000065,1912,784.5300293,163,2.407000065,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
109,163,2.417000055,1912.800049,794.1300049,163,2.417000055,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
110,163,2.417000055,1913,795.9000244,163,2.417000055,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
111,163,2.378999949,1914,804.6699829,163,2.378999949,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
112,163,2.369999886,1914.400024,806.9099731,163,2.369999886,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
113,164,2.361000061,1915.400024,818.0100098,164,2.361000061,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
114,163,2.388999939,1916.599976,827.8300171,163,2.388999939,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
115,164,2.388999939,1917.199951,833.0100098,164,2.388999939,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
