temps,hr,speed,altitude,distance,activity_type,1,,cadence,1,,power,1,,accumulated_power,1,,step_length,1,,,,,,,
72,172,2.725,1833.0,288.0,activity_type,1,,cadence,83,rpm,power,240,watts,accumulated_power,20145,watts,step_length,990.0,mm,enhanced_altitude,1833.0,m,enhanced_speed,2.725,m/s
73,172,2.772,1833.0,292.0,activity_type,1,,cadence,82,rpm,power,262,watts,accumulated_power,20407,watts,step_length,1000.0,mm,enhanced_altitude,1833.0,m,enhanced_speed,2.772,m/s
74,173,2.819,1834.0,296.0,activity_type,1,,cadence,82,rpm,power,285,watts,accumulated_power,20692,watts,step_length,1020.0,mm,enhanced_altitude,1834.0,m,enhanced_speed,2.819,m/s
75,173,2.856,1834.0,300.5,activity_type,1,,cadence,82,rpm,power,288,watts,accumulated_power,20980,watts,step_length,1030.0,mm,enhanced_altitude,1834.0,m,enhanced_speed,2.856,m/s
76,173,2.892,1834.0,305.0,activity_type,1,,cadence,82,rpm,power,292,watts,accumulated_power,21272,watts,step_length,1050.0,mm,enhanced_altitude,1834.0,m,enhanced_speed,2.892,m/s
77,172,2.922,1834.0,308.0,activity_type,1,,cadence,82,rpm,power,295,watts,accumulated_power,21567,watts,step_length,1060.0,mm,enhanced_altitude,1834.0,m,enhanced_speed,2.922,m/s
78,172,2.956,1834.0,311.0,activity_type,1,,cadence,82,rpm,power,299,watts,accumulated_power,21866,watts,step_length,1070.0,mm,enhanced_altitude,1834.0,m,enhanced_speed,2.956,m/s
79,173,2.989,1835.0,314.0,activity_type,1,,cadence,82,rpm,power,302,watts,accumulated_power,22168,watts,step_length,1080.0,mm,enhanced_altitude,1835.0,m,enhanced_speed,2.989,m/s
80,173,3.025,1835.0,317.0,activity_type,1,,cadence,82,rpm,power,306,watts,accumulated_power,22474,watts,step_length,1100.0,mm,enhanced_altitude,1835.0,m,enhanced_speed,3.025,m/s
81,173,3.036,1835.0,319.5,activity_type,1,,cadence,82,rpm,power,307,watts,accumulated_power,22781,watts,step_length,1100.0,mm,enhanced_altitude,1835.0,m,enhanced_speed,3.036,m/s
82,173,3.047,1836.0,322.0,activity_type,1,,cadence,82,rpm,power,308,watts,accumulated_power,23089,watts,step_length,1110.0,mm,enhanced_altitude,1836.0,m,enhanced_speed,3.047,m/s
83,174,3.053,1836.0,324.0,activity_type,1,,cadence,82,rpm,power,323,watts,accumulated_power,23412,watts,step_length,1110.0,mm,enhanced_altitude,1836.0,m,enhanced_speed,3.053,m/s
84,173,3.058,1837.0,326.0,activity_type,1,,cadence,82,rpm,power,338,watts,accumulated_power,23750,watts,step_length,1110.0,mm,enhanced_altitude,1837.0,m,enhanced_speed,3.058,m/s
85,174,3.058,1837.0,329.0,activity_type,1,,cadence,81,rpm,power,338,watts,accumulated_power,24088,watts,step_length,1110.0,mm,enhanced_altitude,1837.0,m,enhanced_speed,3.058,m/s
86,174,3.058,1837.0,332.0,activity_type,1,,cadence,81,rpm,power,338,watts,accumulated_power,24426,watts,step_length,1120.0,mm,enhanced_altitude,1837.0,m,enhanced_speed,3.058,m/s
87,174,3.058,1838.0,334.5,activity_type,1,,cadence,81,rpm,power,338,watts,accumulated_power,24764,watts,step_length,1120.0,mm,enhanced_altitude,1838.0,m,enhanced_speed,3.058,m/s
88,175,3.058,1838.0,337.0,activity_type,1,,cadence,81,rpm,power,338,watts,accumulated_power,25102,watts,step_length,1120.0,mm,enhanced_altitude,1838.0,m,enhanced_speed,3.058,m/s
89,175,3.056,1839.0,340.0,activity_type,1,,cadence,81,rpm,power,353,watts,accumulated_power,25455,watts,step_length,1120.0,mm,enhanced_altitude,1839.0,m,enhanced_speed,3.056,m/s
90,175,3.056,1839.0,343.0,activity_type,1,,cadence,81,rpm,power,369,watts,accumulated_power,25824,watts,step_length,1120.0,mm,enhanced_altitude,1839.0,m,enhanced_speed,3.056,m/s
91,175,3.056,1839.0,345.5,activity_type,1,,cadence,81,rpm,power,369,watts,accumulated_power,26193,watts,step_length,1120.0,mm,enhanced_altitude,1839.0,m,enhanced_speed,3.056,m/s
92,175,3.056,1839.0,348.0,activity_type,1,,cadence,82,rpm,power,369,watts,accumulated_power,26562,watts,step_length,1120.0,mm,enhanced_altitude,1839.0,m,enhanced_speed,3.056,m/s
93,176,3.036,1839.0,350.5,activity_type,1,,cadence,81,rpm,power,359,watts,accumulated_power,26921,watts,step_length,1110.0,mm,enhanced_altitude,1839.0,m,enhanced_speed,3.036,m/s
94,176,3.017,1840.0,353.0,activity_type,1,,cadence,81,rpm,power,349,watts,accumulated_power,27270,watts,step_length,1110.0,mm,enhanced_altitude,1840.0,m,enhanced_speed,3.017,m/s
